accuracy,loss,val_accuracy,val_loss
0.33415234088897705,2.1573092937469482,0.6481481194496155,1.8917958736419678
0.6396396160125732,1.4279013872146606,0.7361111044883728,0.9553952217102051
0.7952498197555542,0.73026442527771,0.8981481194496155,0.49418455362319946
0.8918918967247009,0.4309169054031372,0.9212962985038757,0.3136564791202545
0.9148238897323608,0.31217265129089355,0.9305555820465088,0.2527107000350952
0.9344799518585205,0.25080689787864685,0.9398148059844971,0.20619523525238037
0.9459459185600281,0.20468325912952423,0.9398148059844971,0.16964085400104523
0.954954981803894,0.17700013518333435,0.9537037014961243,0.1604323387145996
0.9598689675331116,0.1418655812740326,0.9629629850387573,0.13641341030597687
0.9623259902000427,0.12457574158906937,0.9629629850387573,0.12166313081979752
0.9615069627761841,0.12211590260267258,0.9629629850387573,0.1220928281545639
0.9737919569015503,0.10226646065711975,0.9722222089767456,0.09348675608634949
